
2025/01/14 (17:17:46) | ===> btop++ v.1.4.0
2025/01/14 (17:17:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (23:09:32) | ===> btop++ v.1.4.0
2025/01/14 (23:09:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (23:09:42) | ===> btop++ v.1.4.0
2025/01/14 (23:09:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (02:30:27) | ===> btop++ v.1.4.0
2025/01/16 (02:30:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (23:52:47) | ===> btop++ v.1.4.0
2025/01/16 (23:52:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (07:46:21) | ===> btop++ v.1.4.0
2025/01/20 (07:46:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (11:50:57) | ===> btop++ v.1.4.0
2025/01/24 (11:50:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (11:51:17) | ===> btop++ v.1.4.0
2025/01/24 (11:51:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (11:51:32) | ===> btop++ v.1.4.0
2025/01/24 (11:51:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (11:51:55) | ===> btop++ v.1.4.0
2025/01/24 (11:51:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (11:55:30) | ===> btop++ v.1.4.0
2025/01/24 (11:55:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:18:03) | ===> btop++ v.1.4.0
2025/01/24 (16:18:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (11:40:32) | ===> btop++ v.1.4.0
2025/01/26 (11:40:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (12:37:56) | ===> btop++ v.1.4.0
2025/01/27 (12:37:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (12:38:12) | ===> btop++ v.1.4.0
2025/01/27 (12:38:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (13:00:34) | ===> btop++ v.1.4.0
2025/01/28 (13:00:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (13:17:30) | ===> btop++ v.1.4.0
2025/01/28 (13:17:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (13:20:48) | ===> btop++ v.1.4.0
2025/01/28 (13:20:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (13:55:03) | ===> btop++ v.1.4.0
2025/01/28 (13:55:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (15:52:58) | ===> btop++ v.1.4.0
2025/01/28 (15:52:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (23:03:24) | ===> btop++ v.1.4.0
2025/01/29 (23:03:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (23:07:35) | ===> btop++ v.1.4.0
2025/01/29 (23:07:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (23:08:15) | ===> btop++ v.1.4.0
2025/01/29 (23:08:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (23:10:01) | ===> btop++ v.1.4.0
2025/01/30 (23:10:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (23:11:04) | ===> btop++ v.1.4.0
2025/01/30 (23:11:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (23:11:21) | ===> btop++ v.1.4.0
2025/01/30 (23:11:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (23:11:31) | ===> btop++ v.1.4.0
2025/01/30 (23:11:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (00:56:37) | ===> btop++ v.1.4.0
2025/02/04 (00:56:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (22:44:17) | ===> btop++ v.1.4.0
2025/02/05 (22:44:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (20:51:31) | ===> btop++ v.1.4.0
2025/02/06 (20:51:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (01:00:18) | ===> btop++ v.1.4.0
2025/02/07 (01:00:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (03:25:04) | ===> btop++ v.1.4.0
2025/02/11 (03:25:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (15:50:25) | ===> btop++ v.1.4.0
2025/02/14 (15:50:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (02:36:23) | ===> btop++ v.1.4.0
2025/02/18 (02:36:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (11:50:20) | ===> btop++ v.1.4.0
2025/02/18 (11:50:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (12:12:05) | ===> btop++ v.1.4.0
2025/02/18 (12:12:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (13:54:25) | ===> btop++ v.1.4.0
2025/02/25 (13:54:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (06:45:07) | ===> btop++ v.1.4.0
2025/03/05 (06:45:07) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/05 (06:45:13) | WARNING: Failed to join _runner thread on exit!

2025/03/05 (06:45:21) | ===> btop++ v.1.4.0
2025/03/05 (06:45:21) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/05 (06:45:54) | WARNING: Failed to join _runner thread on exit!

2025/03/05 (06:45:58) | ===> btop++ v.1.4.0
2025/03/05 (06:45:58) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/05 (06:46:19) | WARNING: Failed to join _runner thread on exit!

2025/03/06 (04:41:25) | ===> btop++ v.1.4.0
2025/03/06 (04:41:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (05:57:33) | ===> btop++ v.1.4.0
2025/03/10 (05:57:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/10 (05:57:41) | WARNING: Failed to join _runner thread on exit!

2025/03/11 (05:46:19) | ===> btop++ v.1.4.0
2025/03/11 (05:46:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (17:02:37) | ===> btop++ v.1.4.0
2025/03/14 (17:02:37) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/14 (17:02:42) | WARNING: Failed to join _runner thread on exit!

2025/03/16 (05:32:56) | ===> btop++ v.1.4.0
2025/03/16 (05:32:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/16 (05:32:59) | WARNING: Failed to join _runner thread on exit!

2025/03/20 (13:57:28) | ===> btop++ v.1.4.0
2025/03/20 (13:57:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/20 (13:57:33) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (01:55:07) | ===> btop++ v.1.4.0
2025/03/21 (01:55:07) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/21 (01:59:16) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (21:28:37) | ===> btop++ v.1.4.0
2025/03/26 (21:28:37) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/26 (21:28:41) | WARNING: Failed to join _runner thread on exit!

2025/03/30 (20:15:11) | ===> btop++ v.1.4.0
2025/03/30 (20:15:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (11:20:28) | ===> btop++ v.1.4.0
2025/04/03 (11:20:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/03 (11:21:13) | WARNING: Failed to join _runner thread on exit!

2025/04/04 (06:07:30) | ===> btop++ v.1.4.0
2025/04/04 (06:07:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/04 (06:07:33) | WARNING: Failed to join _runner thread on exit!

2025/04/04 (06:07:35) | ===> btop++ v.1.4.0
2025/04/04 (06:07:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/06 (21:55:43) | ===> btop++ v.1.4.0
2025/05/06 (21:55:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/06 (21:55:54) | WARNING: Failed to join _runner thread on exit!

2025/05/06 (22:58:43) | ===> btop++ v.1.4.0
2025/05/06 (22:58:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/06 (22:58:46) | WARNING: Failed to join _runner thread on exit!

2025/05/07 (17:29:28) | ===> btop++ v.1.4.0
2025/05/07 (17:29:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/07 (17:29:32) | WARNING: Failed to join _runner thread on exit!

2025/05/08 (02:36:10) | ===> btop++ v.1.4.0
2025/05/08 (02:36:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/08 (02:46:14) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (02:46:25) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (02:46:50) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (02:46:57) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (02:47:27) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (02:49:29) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (02:49:38) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (02:52:25) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (02:55:27) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (02:55:33) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (03:00:45) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (03:03:20) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (03:03:28) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (03:11:35) | ERROR: Stall in Runner thread, restarting!
2025/05/08 (03:11:41) | ERROR: Stall in Runner thread, restarting!

2025/05/08 (03:17:11) | ===> btop++ v.1.4.0
2025/05/08 (03:17:11) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/08 (03:17:16) | WARNING: Failed to join _runner thread on exit!

2025/05/08 (03:17:47) | ===> btop++ v.1.4.0
2025/05/08 (03:17:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/08 (03:17:58) | WARNING: Failed to join _runner thread on exit!

2025/05/08 (03:24:31) | ===> btop++ v.1.4.0
2025/05/08 (03:24:31) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/08 (03:25:17) | WARNING: Failed to join _runner thread on exit!

2025/05/08 (07:56:50) | ===> btop++ v.1.4.0
2025/05/08 (07:56:50) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/08 (07:56:57) | WARNING: Failed to join _runner thread on exit!

2025/05/10 (01:49:09) | ===> btop++ v.1.4.0
2025/05/10 (01:49:09) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/10 (01:49:29) | WARNING: Failed to join _runner thread on exit!

2025/05/10 (01:50:10) | ===> btop++ v.1.4.0
2025/05/10 (01:50:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/10 (01:50:12) | WARNING: Failed to join _runner thread on exit!

2025/05/14 (05:07:47) | ===> btop++ v.1.4.0
